bug_submission,bug_comment,review_submission,review_comment,forum_thread,committer
2,0,0,1,0,0
21,7,4,0,0,0
0,0,0,22,0,0
1,0,1,0,0,0
140,139,56,5,116,3
91,73,3,3,0,4
1,0,1,0,0,0
2,0,1,0,0,0
1,1,2,2,0,0
12,4,25,38,0,0
2,4,6,0,0,2
11,1,4,0,0,0
0,0,23,16,0,0
16,2,1,2,0,0
93,72,0,1,0,1
0,0,11,4,0,0
0,0,37,4,0,0
4,0,2,0,0,0
130,51,12,0,0,0
2,0,2,0,0,0
1038,1820,127,171,289,9
1,1,1,9,9,3
7,11,5,1,0,0
9,6,2,0,0,0
0,0,3,0,0,0
9,23,22,6,0,0
175,518,28,2,91,2
1,2,1,0,0,0
0,0,1,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,5,5,0,0
1,1,1,0,0,0
80,25,19,1,0,0
8,0,6,0,0,1
1,2,1,0,0,0
18,15,72,24,0,0
36,46,296,5,9,1
1,0,1,0,0,0
6,1,12,15,1,6
22,11,15,0,48,1
0,0,2,0,0,0
2,0,1,0,0,0
2,1,20,0,0,1
0,0,1,0,0,0
3,4,2,0,0,0
0,0,1,0,0,0
13,6,5,0,0,0
1,2,1,0,0,0
0,1,1,0,0,0
2,0,7,0,0,0
13,20,0,1,0,0
0,0,1,0,0,0
4,6,1,0,1,7
1,0,3,0,0,0
3,4,10,0,0,0
85,19,161,15,0,0
0,0,0,1,0,0
0,0,0,1,0,0
4,0,0,1,0,0
48,15,3,0,0,0
62,13,98,7,3,6
26,1,23,30,3,1
19,6,11,0,0,0
27,7,2,0,0,0
88,59,217,19,6,1
7,0,5,0,0,0
5,0,11,0,0,0
1,0,2,0,0,0
0,0,2,0,0,0
7,0,4,0,0,0
0,0,5,0,0,0
2,3,1,0,0,0
10,3,19,25,2,2
0,0,18,0,0,0
1,1,3,1,0,0
2,0,4,0,0,0
1,0,1,0,0,0
2,2,9,0,0,0
38,20,1,0,55,1
5,2,0,39,0,3
81,57,10,1,3,2
37,21,11,0,6,1
109,240,12,1,0,0
1,1,6,0,0,0
41,18,0,1,0,1
75,41,50,0,441,11
1,1,1,1,0,0
12,2,16,0,0,0
1,0,4,1,0,0
2,0,16,3,0,0
0,0,16,7,0,1
2,1,1,0,0,0
2,8,5,0,0,0
2,0,8,0,0,0
41,4,16,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
22,13,0,3,0,0
0,0,1,0,0,0
3,0,3,0,0,0
32,122,122,15,5,1
1,0,2,0,0,0
2420,3360,99,43,403,7
0,1,1,0,0,0
0,1,1,0,0,0
7,153,61,0,0,1
7,0,1,0,1,2
5,0,0,1,1,1
4,1,1,0,0,0
17,0,1,0,0,0
0,1,1,0,0,0
7,8,1,0,0,0
1,1,0,1,0,0
0,0,0,27,0,1
0,0,4,0,0,0
1,0,2,0,0,0
13,0,14,1,0,0
1,0,3,0,0,0
3,0,4,2,0,0
1,0,1,0,0,0
3,3,4,1,0,0
1,0,1,1,0,0
18,2,0,2,0,1
0,3,1,0,0,0
1,5,4,0,0,0
3,3,1,0,0,0
1,0,3,0,0,0
0,0,0,1,0,0
1,0,1,0,0,0
1,0,3,0,0,0
0,0,3,0,0,0
3,0,7,0,0,0
0,0,4,0,0,0
127,36,95,0,28,1
0,0,5,0,0,0
0,0,1,0,0,0
1,0,1,0,0,0
2,32212,0,1276,0,0
10,13,3,0,0,0
1,1,1,0,0,0
0,0,1,0,0,0
1,0,10,11,0,0
4,0,6,0,0,0
1167,3412,191,1276,430,20
1,0,1,0,0,0
5,4,3,0,0,0
455,2139,2,0,0,8
5,3,38,3,0,0
86,81,3,0,263,2
0,0,34,15,0,0
6,0,9,2,0,0
0,1,0,1,0,0
0,1,2,2,0,0
0,0,1,0,0,0
1,2,1,0,0,0
4,0,9,3,0,0
0,1,7,1,0,0
2,1,1,1,0,0
2,0,0,1,0,0
1,0,2,0,0,0
6,1,7,0,0,0
3,1,0,1,0,0
0,2,3,0,0,0
0,0,48,0,0,0
189,68,261,113,18,51
76,28,114,97,0,3
11,13,0,6,11,1
4,1,1,0,0,0
3,0,1,0,0,0
7,2,1,0,0,0
1,0,2,0,0,0
1,1,3,0,0,0
2,0,1,0,0,0
40,304,877,166,31,2
1,3,4,0,0,0
0,0,1,0,0,0
3,0,15,51,0,0
38,89,9,3,57,3
30,8,16,3,0,0
19,1,2,0,0,0
2,0,1,0,0,0
6,7,63,26,0,0
0,0,7,0,0,0
0,0,2,0,0,0
0,0,1,0,0,0
4,2,15,0,0,0
1,0,3,0,0,0
0,1,5,2,0,0
1,1,0,1,0,0
1,0,9,0,0,0
2,0,2,0,0,0
24,9,1,0,0,0
1,1,4,0,0,0
93,101,35,1,24,3
22,6,1,0,31,1
24,11,5,1,0,0
5,2,8,0,0,0
6,7,11,0,0,0
26,15,23,14,0,0
6,4,2,0,0,0
0,0,2,0,0,0
9,0,2,0,0,0
1,0,1,0,0,0
0,0,5,1,1,1
6,10,3,38,0,1
4,0,3,13,0,1
1,1,1,0,0,0
1,0,1,0,0,0
1,0,1,0,0,0
0,0,33,52,2730,6
3,0,10,0,0,0
3,3,3,0,0,0
1,0,1,0,0,0
5,0,5,0,0,0
16,34,2,0,0,0
3,0,1,0,0,0
0,1,1,0,0,0
86,43,52,9,0,0
0,6,1,1,0,0
7,0,3,0,0,0
0,0,2,0,0,0
13,3,13,1,0,0
0,0,14,0,0,0
1,1,1,0,0,0
0,4,4,0,0,0
0,0,2,0,0,0
363,302,79,38,2,2
5,3,3,0,0,0
3,0,2,0,0,0
726,970,306,471,857,4
6,1,3,1,0,1
403,2205,733,667,1385,2
12,1,11,0,0,0
438,530,160,431,259,2
0,0,0,1,0,0
0,5,15,3,0,0
0,0,6,2,0,0
2,2,3,0,0,0
247,1075,144,132,245,2
0,1,2,0,0,0
10,0,1,0,0,0
0,0,1,0,0,0
44,30,15,10,7,3
5,0,2,0,0,0
86,22,23,3,83,1
7,0,1,0,0,0
15,11,0,1,0,0
1,0,1,0,0,0
3,12,3,0,0,1
0,0,2,0,0,0
1,0,1,0,0,0
6,4,4,0,0,0
31,22,14,0,0,0
4,4,1,0,0,0
10,2,2,0,0,0
10,3,2,0,4,1
0,1,21,14,0,0
205,359,0,2,225,5
24,19,1,0,15,1
0,0,3,0,0,0
76,22,0,1,0,0
2,0,10,0,0,0
453,277,297,158,0,7
624,876,20,15,90,13
0,1,1,0,0,0
6,6,1,0,0,0
0,2,3,0,0,0
76,47,5,5,0,1
14,7,15,6,0,1
739,2210,285,978,580,1
61,918,35,241,9,4
0,0,1,0,0,1
9,102,39,0,0,0
0,0,2,0,0,0
9,9,1,0,0,0
12,0,9,0,0,0
5,2,2,1,0,0
0,2,1,3,0,0
0,0,10,0,0,0
88,66,53,36,16,1
2,0,1,0,0,0
12,0,26,0,0,0
10,6,12,0,0,0
44,12,82,12,0,1
1,5,3,0,0,0
85,67,28,57,190,3
564,1054,19,10,579,11
11,45,15,0,0,0
118,617,144,140,43,2
1,0,1,0,0,0
10,0,1,0,0,0
5,0,2,0,0,0
10,9,18,4,30,1
4,11,10,23,32,1
25,27,68,368,0,1
5,0,0,1,0,0
10,0,28,0,0,0
67,27,54,14,0,2
1,0,1,0,0,0
6,0,54,46,0,1
8,12,11,0,0,0
312,1586,279,316,72,5
52,48,10,0,64,2
81,69,3,30,0,1
48,22,73,3,27,2
25,7,4,1,0,0
8,3,3,0,0,0
601,706,814,230,4,4
6,1,7,0,0,0
1,0,1,0,0,0
3,1,6,0,1,1
28,1,3,0,0,0
0,0,0,1,0,0
18,9,7,0,0,0
1,0,3,0,0,0
23,26,83,1,0,0
329,445,381,246,0,8
3,6,1,0,0,0
689,1208,6,1,0,8
0,0,0,1,0,0
30,17,15,1,0,0
720,1111,412,179,3,10
1,0,2,0,0,0
4,0,39,0,0,0
1,0,3,0,0,0
15,15,2,0,0,0
18,5,16,10,11,1
16,2,12,0,0,0
0,1,1,0,0,0
4,4,26,0,2,1
6,0,65,8,3,1
2,0,1,0,0,0
9,8,1,0,5,2
23,12,1,0,0,1
0,0,1,0,0,0
26,10,33,0,0,2
30,16,10,0,78,1
199,642,1,0,0,1
1,0,1,0,0,0
0,0,19,0,0,0
1,0,16,4,0,0
172,112,306,124,0,2
0,8,1,0,0,2
565,693,455,113,0,2
424,2199,4,27,5,6
0,6,28,4,0,0
1,0,73,2,0,1
82,10,2,1,0,0
3,0,0,1,0,0
20,4,36,2,0,0
2,0,11,0,0,0
4,26,43,45,2,1
0,3,12,0,0,0
60,6,8,0,0,0
1,1,2,0,0,0
4,0,1,8,0,1
2,1,2,0,0,0
870,427,98,136,7,1
215,471,403,38,2,3
185,1395,328,188,0,3
16,13,15,0,0,0
2,0,0,1,0,0
9,23,0,1,3,1
70,323,711,410,0,1
10,138,17,1,0,1
1,0,2,0,0,0
1,0,1,0,0,0
13,5,1,0,0,0
17,3,7,2,0,0
1,1,0,2,0,0
2,0,1,0,0,0
0,0,1,0,0,0
149,77,267,69,1,3
54,2,48,0,0,0
5,2,3,0,0,0
1,4,2,0,0,0
3,0,18,0,0,0
70,15,59,335,0,4
112,42,0,1,0,0
1,3,2,0,0,0
148,93,2,0,18,1
16,19,0,1,0,0
8,16,9,2,0,0
66,105,4,2,70,1
6515,23613,157,1375,2862,17
15,2,29,4,0,0
0,0,3,0,0,0
8,2,52,0,0,1
10,1,2,0,0,0
1,0,1,0,0,0
0,0,1,0,0,0
18,3,4,8,3,1
10,49,39,4,1,1
85,157,222,60,0,1
1,0,4,33,0,2
3,3,2,108,1,2
38,82,8,0,0,5
66,73,150,30,0,1
67,80,307,137,12,3
55,10,20,66,0,3
5,0,7,0,0,0
2,1,3,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
36,8,89,14,0,0
2,1,1,0,0,0
1,0,1,0,0,0
0,0,6,0,0,1
5,3,1,0,0,0
132,95,119,33,12,3
4,3,3,0,0,0
10,4,7,2,0,0
56,6,76,1,0,0
4,2,1,0,0,0
7,1,1,0,0,0
0,0,29,0,0,1
3,2,4,0,0,0
0,5,133,42,38,1
6151,8188,208,236,266,18
2,0,0,1,0,0
1,0,2,0,0,0
297,1208,411,169,0,3
7,1,1,0,0,0
17,10,47,19,0,1
1,3,12,1,14,2
246,709,22,58,71,9
1442,3930,18,0,0,13
19,42,274,3,0,0
0,1,1,0,0,0
19,5,17,3,0,1
3,0,3,0,0,0
12,32,6,3,0,0
9,0,1,1,0,0
3,3,0,1,0,0
28,22,11,0,2,1
210,113,108,37,59,1
10,4,2,13,0,7
24,3,1,0,0,0
0,2,3,0,0,0
110,252,3,0,1,6
0,2,2,0,0,0
13,1,3,0,0,0
2,4,5,0,0,0
24,1,1,0,0,0
16,30,2,0,6,1
1,0,3,9,0,2
2,1,0,1,0,0
0,1,2,0,0,0
13,4,5,5,13,1
0,0,1,0,0,0
172,90,161,22,1,2
7,0,2,0,0,0
166,93,8,0,83,2
1,0,7,0,0,0
45,15,89,30,3,1
3,2,8,1,0,0
0,2,2,0,0,0
1,1,1,0,0,0
117,65,1,2,0,5
8,20,30,23,4,2
8,2,3,0,0,0
42,59,0,1,0,0
3,0,1,0,0,0
15,7,3,0,0,0
0,0,0,1,0,0
10,18,48,1,0,0
170,290,27,4,504,4
1,0,1,0,0,0
2,2,2,0,0,0
10,0,12,1,0,0
1,0,2,0,0,0
2,0,1,0,0,0
2,4,227,117,0,2
5,0,1,0,0,0
2,4,4,0,0,0
4,2,0,1,0,0
137,282,668,10,74,2
6,1,24,0,0,1
2,0,2,0,0,0
0,0,3,0,0,0
4,2,6,0,0,0
1,0,0,1,0,0
6,1,12,0,0,0
